iter	Logloss
366	0.4003469472
367	0.4002404947
368	0.4002100798
369	0.4001444139
370	0.4001385282
371	0.400046297
372	0.3998391823
373	0.3996897799
374	0.399631845
375	0.3995078626
376	0.3993682909
377	0.3992675969
378	0.3992042218
379	0.3991271344
380	0.3990045518
381	0.3989486213
382	0.3987077193
383	0.3985061723
384	0.398405033
385	0.3983976519
386	0.39829454
387	0.3981111593
388	0.3980478796
389	0.3980149512
390	0.397835261
391	0.3977452886
392	0.3975855781
393	0.3974935378
394	0.3974203
395	0.3973023306
396	0.3972130899
397	0.3971517191
398	0.397120636
399	0.3969320058
400	0.3969222705
401	0.3968639221
402	0.3967600784
403	0.3965189856
404	0.3964975742
405	0.3964350262
406	0.3963588933
407	0.3962880735
408	0.396189002
409	0.3961151598
410	0.396010648
411	0.3959136128
412	0.3957975841
413	0.3957063709
414	0.3956851186
415	0.3955747211
643128
415	0.4038222536
